name_gr,name_en,categories,address,phone,url
"Enjoy Just Falafel","Enjoy Just Falafel","€ Λιβανέζικη Ευρωπαϊκή Μέσης Ανατολής ","Αριστοτέλους 98 Victoria Square Αθήνα 104 34,  Ελλάδα ","+30 21 5525 9599","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d10051261-Reviews-Enjoy_Just_Falafel-Athens_Attica.html"
"Fine Mess Smokehouse","Fine Mess Smokehouse","€€ - €€€ Αμερικανική Διεθνής ","Σκουφά 73 Αθήνα 10680,  Ελλάδα ","+30 21 1115 5725","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d17185700-Reviews-Fine_Mess_Smokehouse-Athens_Attica.html"
"Indian Haveli","Indian Haveli","€€ - €€€ Ινδική Ασιατική Κατάλληλο για χορτοφάγους ","Λεωφόρος Συγγρού 12 Αθήνα 117 42,  Ελλάδα ","+30 21 0924 4522","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d9979781-Reviews-Indian_Haveli-Athens_Attica.html"
"Vegan Beat","Vegan Beat","€ Μεσογειακή Ευρωπαϊκή Ελληνική ","Πανδρόσου 7-15 First Floor Αθήνα 10556,  Ελλάδα ","+30 21 0325 2004","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d14142081-Reviews-Vegan_Beat-Athens_Attica.html"
"Dinner in the Sky","Dinner in the Sky","€€€€ Μεσογειακή Ευρωπαϊκή Ελληνική ","Ιάκχου & Βουτάδων, Τεχνόπολη Δήμου Αθηναίων Αθήνα 11854,  Ελλάδα ","+30 694 539 6509","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d7825999-Reviews-Dinner_in_the_Sky-Athens_Attica.html"
"Scala Vinoteca","Scala Vinoteca","€€ - €€€ Μεσογειακή Ευρωπαϊκή Ελληνική ","Σίνα 50 & Αναγνωστοπούλου Αθήνα 106 72,  Ελλάδα ","+30 21 0361 0041","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d2454645-Reviews-Scala_Vinoteca-Athens_Attica.html"
"Thes \"Greek Creative Cuisine\"","Thes \"Greek Creative Cuisine\"","€€ - €€€ Ελληνική ","Τάκη 16 Ψυρρή Αθήνα 105 54,  Ελλάδα ","+30 21 0321 2858","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d17837015-Reviews-Thes_Greek_Creative_Cuisine-Athens_Attica.html"
"Cinque Wine & Deli Bar","Cinque Wine & Deli Bar","€ Ελληνική Ντελικατέσεν ","Αγαθάρχου 15 Αθήνα 105 54,  Ελλάδα ","+30 21 5501 7853","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d9462540-Reviews-Cinque_Wine_Deli_Bar-Athens_Attica.html"
"Jaipur Palace","Jaipur Palace","€€ - €€€ Ινδική Ασιατική Κατάλληλο για χορτοφάγους ","Λεωφόρος Συγγρού 121 Αθήνα 11745,  Ελλάδα ","+30 21 0981 2009","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d15339994-Reviews-Jaipur_Palace-Athens_Attica.html"
"Simul Gastronomic Situ","Simul Gastronomic Situ","€€ - €€€ Ευρωπαϊκή Κατάλληλο για χορτοφάγους Επιλογές βίγκαν ","Υψηλάντου 63 Κολωνάκι Αθήνα 115 21,  Ελλάδα ","+30 21 0722 4737","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d9763282-Reviews-Simul_Gastronomic_Situ-Athens_Attica.html"
"Oroscopo","Oroscopo","€€ - €€€ Ελληνική Κατάλληλο για χορτοφάγους Επιλογές βίγκαν ","Οδός Αντήνορος 42-44 Πλατεία Caravel Hotel Αθήνα 16121,  Ελλάδα ","+30 21 0723 8567","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d2186282-Reviews-Oroscopo-Athens_Attica.html"
"5Φ","5Φ","€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Διοχάρους 31 Αθήνα 16121,  Ελλάδα ","+30 21 0722 4242","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d5312490-Reviews-5F-Athens_Attica.html"
"Aleria","Aleria","€€€€ Ελληνική Μεσογειακή Ευρωπαϊκή ","Μεγ. Αλεξάνδρου 57 Μεταξουργείο Αθήνα 104 35,  Ελλάδα ","+30 21 0522 2633","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d799575-Reviews-Aleria-Athens_Attica.html"
"Liondi Traditional Greek Restaurant","Liondi Traditional Greek Restaurant","€€ - €€€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Οδός Μακρυγιάννη 19-21 Αθήνα 11742,  Ελλάδα ","+30 21 0921 9994","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d5041914-Reviews-Liondi_Traditional_Greek_Restaurant-Athens_Attica.html"
"Po' Boys BBQ","Po' Boys BBQ","€€ - €€€ Αμερικανική Μπάρμπεκιου ","Αγαθάρχου 12 & Λεπενιότου Ψυρρί Αθήνα 10554,  Ελλάδα ","+30 21 0323 4672","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d13803455-Reviews-Po_Boys_BBQ-Athens_Attica.html"
"Ατίταμος","Ατίταμος","€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Σόλωνος και Καποδιστρίου 2 Αθήνα 10677,  Ελλάδα ","+30 21 0330 0864","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d6692592-Reviews-Atitamos-Athens_Attica.html"
"Μαίανδρος","Μαίανδρος","€€ - €€€ Θαλασσινά Μεσογειακή Ευρωπαϊκή ","Αδριανού 47 Μοναστηράκι Αθήνα 10555,  Ελλάδα ","+30 21 0321 0181","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d2315343-Reviews-Maiandros-Athens_Attica.html"
"All That Jatz","All That Jatz","€ Ελληνική Κατάλληλο για χορτοφάγους Επιλογές βίγκαν ","Αγίου Φιλίππου & Άστιγγος Αθήνα 10555,  Ελλάδα ","+30 21 0331 4753","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d10426009-Reviews-All_That_Jatz-Athens_Attica.html"
"Λίθος","Λίθος","€€ - €€€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Αισώπου 17 Ψυρρή Αθήνα,  Ελλάδα ","+30 21 0324 7797","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d1151377-Reviews-Lithos-Athens_Attica.html"
"Caravin Wine & Wanderlust","Caravin Wine & Wanderlust","€€ - €€€ Μεσογειακή ","Ακαμάντους 11 Αθήνα 11851,  Ελλάδα ","+30 21 1400 3962","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d14411966-Reviews-Caravin_Wine_Wanderlust-Athens_Attica.html"
"Μυρώνι","Μυρώνι","€€ - €€€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Μεγάλου Αλεξάνδρου 7 Αθήνα 104 37,  Ελλάδα ","+30 21 0520 2339","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d14072280-Reviews-MIRONI_Greek_Restaurant-Athens_Attica.html"
"Το κυκλάμινο","Το κυκλάμινο","€ Ελληνική Επιλογές βίγκαν ","Πλ. Αβησσυνίας 3 Αθήνα 105 55,  Ελλάδα ","+30 21 1115 9787","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d17624206-Reviews-To_Kyklamino-Athens_Attica.html"
"Tα Καραμανλίδικα του Φάνη","Tα Καραμανλίδικα του Φάνη","€€ - €€€ Μέσης Ανατολής Μεσογειακή Ελληνική ","Σωκράτους 1 & Ευριπίδου 52 Αθήνα 105 52,  Ελλάδα ","+30 21 0325 4184","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d6852056-Reviews-Ta_Karamanlidika_tou_Fani-Athens_Attica.html"
"A little Taste of Home","A little Taste of Home","€€ - €€€ Τουρκική Μεσογειακή Ευρωπαϊκή ","Δεκέλεων 3 Γκάζι Αθήνα 11854,  Ελλάδα ","+30 21 0341 0013","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d10559098-Reviews-A_little_Taste_of_Home-Athens_Attica.html"
"Smak.","Smak.","€ Μεσογειακή Ελληνική Πίτσα ","Ρόμβης 21 Αθήνα 10560,  Ελλάδα ","+30 21 1409 7046","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d13505920-Reviews-Smak-Athens_Attica.html"
"Χαρούμενο Μπλεντεράκι","Χαρούμενο Μπλεντεράκι","€ Kαφέ Υγιεινή Φαγητό του δρόμου ","Ηφαίστου 39 παραδοσιακός δρόμος Αθήνα 10555,  Ελλάδα ","+30 21 0363 8484","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d12357640-Reviews-Happy_Blender-Athens_Attica.html"
"Bandiera","Bandiera","€ Μεσογειακή Ευρωπαϊκή Ελληνική ","Τακη 19 Psirri Αθήνα 10554,  Ελλάδα ","+30 697 726 1279","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d10445516-Reviews-Bandiera-Athens_Attica.html"
"BiteBox","BiteBox","€ Kαφέ Ευρωπαϊκή Μεσογειακή ","Βεΐκου 84 Αθήνα 11741,  Ελλάδα ","+30 21 0923 7817","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d14771398-Reviews-BiteBox-Athens_Attica.html"
"Κρήτη","Κρήτη","€€ - €€€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Βερανζέρου 5 Πλατεία Κάνιγγος Αθήνα 10677,  Ελλάδα ","+30 21 0382 6998","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d3632582-Reviews-Kriti-Athens_Attica.html"
"Το Τρίκυκλο","Το Τρίκυκλο","€€ - €€€ Θαλασσινά Μεσογειακή Ελληνική ","Πυθέου 34 & Γεωμέτρου 1, Λόφος Λαμπράκη, Νέος Κόσμος Αθήνα 117 43,  Ελλάδα ","+30 21 0923 2384","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d2649991-Reviews-To_Trikyklo-Athens_Attica.html"
"Σφήκα","Σφήκα","€ Μεσογειακή Ευρωπαϊκή ","Στρατηγού Κοντούλη 15 Αθήνα,  Ελλάδα ","+30 21 0922 1341","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d7940425-Reviews-Sfika-Athens_Attica.html"
"BlueFish Athens","BlueFish Athens","€€ - €€€ Μεσογειακή Ελληνική Φιούζιον ","Καλογριώνη 6 Αθήνα 10556,  Ελλάδα ","+30 21 3036 4214","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d13568534-Reviews-BlueFish_Athens-Athens_Attica.html"
"Δίοδος Αρχαίας Αγοράς","Δίοδος Αρχαίας Αγοράς","€€ - €€€ Θαλασσινά Ελληνική Υγιεινή ","Ανδριανού 19 Μοναστηράκι Αθήνα 105 55,  Ελλάδα ","+30 21 0321 2256","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d1076890-Reviews-Diodos_Archaias_Agoras-Athens_Attica.html"
"Aspro Alogo","Aspro Alogo","€ Μεσογειακή Ευρωπαϊκή Ελληνική ","Απόλωνος & Πατρώου 4 Αθήνα 105 57,  Ελλάδα ","+30 21 0322 0551","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d1227879-Reviews-Aspro_Alogo-Athens_Attica.html"
"Οινομαγειρείο Η Ήπειρος","Οινομαγειρείο Η Ήπειρος","€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Φιλοποίμενος 4 Βαρβάκειος Αγορά Αθήνα 105 51,  Ελλάδα ","+30 21 0324 0773","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d7794299-Reviews-Oinomageireio_H_Epirus-Athens_Attica.html"
"Spiti Mas","Spiti Mas","€ Kαφέ Μεσογειακή Ελληνική ","Ναυάρχου Αποστόλη 10 Αθήνα 10554,  Ελλάδα ","+30 21 0331 4751","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d10529343-Reviews-Spiti_Mas-Athens_Attica.html"
"Λοστρέ κουζίνα","Λοστρέ κουζίνα","€€ - €€€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Πυθέου 32 Νέος Κόσμος Αθήνα 117 43,  Ελλάδα ","+30 21 0922 6600","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d6765593-Reviews-Lostre_Kouzina-Athens_Attica.html"
"Πέρα","Πέρα","€ Μεσογειακή Ελληνική Μέσης Ανατολής ","Αιόλου 57 Monastiraki Αθήνα 105 51,  Ελλάδα ","+30 21 0323 2368","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d7906947-Reviews-Pera-Athens_Attica.html"
"Sushimou","Sushimou","€€ - €€€ Σούσι Ιαπωνική Θαλασσινά ","Σκούφου 6 Αθήνα 105 57,  Ελλάδα ","+30 21 1407 8457","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d8757660-Reviews-Sushimou-Athens_Attica.html"
"Gevomai Kai Magevomai","Gevomai Kai Magevomai","€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Nileos 11 Thisio Αθήνα,  Ελλάδα ","+30 21 0345 2802","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d4943546-Reviews-Gevomai_Kai_Magevomai-Athens_Attica.html"
"ΑΡΚΑΔΙΑ ΕΣΤΙΑΤΟΡΙΟ","ΑΡΚΑΔΙΑ ΕΣΤΙΑΤΟΡΙΟ","€€ - €€€ Θαλασσινά Μεσογειακή Ελληνική ","ΜΑΚΡΥΓΙΑΝΝΗ 23-27 Αθήνα 11742,  Ελλάδα ","+30 21 0923 8124","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d1501262-Reviews-Arcadia_Restaurant-Athens_Attica.html"
"Ευχάρις","Ευχάρις","€€ - €€€ Ελληνική Κατάλληλο για χορτοφάγους Επιλογές βίγκαν ","Αδριανού 49 Μοναστηράκι Αθήνα 105 55,  Ελλάδα ","+30 21 0322 6330","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d4746098-Reviews-Efcharis-Athens_Attica.html"
"Indian Chef","Indian Chef","€€ - €€€ Ινδική Ασιατική Κατάλληλο για χορτοφάγους ","Λεωφ. Ανδρέα Συγγρού 55 Αθήνα 117 43,  Ελλάδα ","+30 21 0923 6336","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d6833928-Reviews-Indian_Chef-Athens_Attica.html"
"Ψαροταβέρνα Η Τρατα","Ψαροταβέρνα Η Τρατα","€€ - €€€ Θαλασσινά Μεσογειακή Ελληνική ","Θεμιστοκλέους 8 & Νικηταρά 9 Αθήνα 106 78,  Ελλάδα ","+30 21 0383 8531","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d2580508-Reviews-Trata_Fish_Tavern-Athens_Attica.html"
"Balcony Restaurant & Bar","Balcony Restaurant & Bar","€€ - €€€ Κατάλληλο για χορτοφάγους Πιάτα χωρίς γλουτένη ","Βεΐκου 1 Αθήνα 11742,  Ελλάδα ","+30 21 1411 8437","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d10689208-Reviews-Balcony_Restaurant_Bar-Athens_Attica.html"
"Taqueria Maya Athens","Taqueria Maya Athens","€ Μεξικάνικη Λατινική Κατάλληλο για χορτοφάγους ","Πετράκη 10 Σύνταγμα Αθήνα 105 63,  Ελλάδα ","+30 21 1216 7081","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d7736681-Reviews-Taqueria_Maya_Athens-Athens_Attica.html"
"Ραραού","Ραραού","€€ - €€€ Μεσογειακή Ελληνική ","Εμ. Μπενάκη 69Α &Βαλτετσίου & Βαλτετσίου Αθήνα 10681,  Ελλάδα ","+30 21 0330 0237","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d2388376-Reviews-Raraou_cantina-Athens_Attica.html"
"Μαύρος Γατος","Μαύρος Γατος","€€ - €€€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Πολέμωνος 4 Αθήνα 116 35,  Ελλάδα ","+30 21 0723 6903","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d4037756-Reviews-Mavros_Gatos-Athens_Attica.html"
"Μέγας Αλέξανδρος Greek Restaurant","Μέγας Αλέξανδρος Greek Restaurant","€€ - €€€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Μεγάλου Αλεξάνδρου 3 Αθήνα 104 37,  Ελλάδα ","+30 21 0520 3909","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d1076442-Reviews-Alexander_the_Great_Greek_Restaurant-Athens_Attica.html"
"Flavour Business Resto Cafe","Flavour Business Resto Cafe","€ Ευρωπαϊκή Μεσογειακή Κατάλληλο για χορτοφάγους ","Λεωφόρος Συγγρού 133 Νέος Κόσμος Αθήνα 117 45,  Ελλάδα ","+30 21 0931 0935","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d3694050-Reviews-Flavour_Business_Resto_Cafe-Athens_Attica.html"
"Οινοπωλείο","Οινοπωλείο","€€ - €€€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Αισχύλου 12 Psirri Αθήνα 105 54,  Ελλάδα ","+30 21 3008 1461","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d2357231-Reviews-Oinopoleion-Athens_Attica.html"
"Κιουζίν","Κιουζίν","€€ - €€€ Ελληνική Μεσογειακή Ευρωπαϊκή ","Λυκαβηττού 16 Κολωνάκι, λίγα μέτρα πριν τον Ιερό Ναό Αγίου Διονυσσίου Αθήνα 10673,  Ελλάδα ","+30 21 0364 7407","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d12325911-Reviews-Kiouzin-Athens_Attica.html"
"Tudor Hall","Tudor Hall","€€€€ Μεσογειακή Ευρωπαϊκή Ελληνική ","Βασ. Γεωργίου Α'  3 Syntagma Square Αθήνα 105 64,  Ελλάδα ","+30 21 0333 0265","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d695972-Reviews-Tudor_Hall-Athens_Attica.html"
"Ερωτόκριτος Σουβλάκι","Ερωτόκριτος Σουβλάκι","€ Μεσογειακή Μπάρμπεκιου Ελληνική ","Κάνιγγος 3 Αθήνα 106 77,  Ελλάδα ","+30 21 0381 2583","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d6437497-Reviews-Erotokritos_Souvlaki-Athens_Attica.html"
"Ταβέρνα  Άρης","Ταβέρνα  Άρης","€ Θαλασσινά Μεσογειακή Ελληνική ","Σοφοκλέους 17-19 Στοά Αθανάτων Αθήνα 10505,  Ελλάδα ","+30 21 0324 9615","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d4761142-Reviews-Taverna_Aris-Athens_Attica.html"
"Brigante La Cucina del Quartiere","Brigante La Cucina del Quartiere","€ Ιταλική Πίτσα Ευρωπαϊκή ","Ξενοφώντος 6 Αθήνα 105 57,  Ελλάδα ","+30 21 1182 1400","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d7213480-Reviews-Brigante_La_Cucina_del_Quartiere-Athens_Attica.html"
"Alficon","Alficon","€€€€ Ελληνική Κατάλληλο για χορτοφάγους ","Ηρώνδα 8 Καλλιμάρμαρο Αθήνα 11636,  Ελλάδα ","+30 21 6900 5059","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d13810133-Reviews-Alficon-Athens_Attica.html"
"Ella Greek Cooking","Ella Greek Cooking","€€ - €€€ Θαλασσινά Ελληνική ","Μητροπόλεως 26 Αθήνα 10563,  Ελλάδα ","+30 21 0331 5547","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d15124215-Reviews-Ella_Greek_Cooking-Athens_Attica.html"
"Point a Bar and Restaurant","Point a Bar and Restaurant","€€ - €€€ Μεσογειακή Ευρωπαϊκή ","Ροβέρτου Γκάλλι 4 Ξενοδοχείο ΗΡΩΔΕΙΟ Αθήνα 117 42,  Ελλάδα ","+30 21 0923 8991","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d7199752-Reviews-Point_a_Bar_and_Restaurant-Athens_Attica.html"
"Kalamaki Bar","Kalamaki Bar","€ Ελληνική Κατάλληλο για χορτοφάγους ","Δράκου 15 Αθήνα 117 42,  Ελλάδα ","+30 21 1017 1862","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d3135302-Reviews-Kalamaki_Bar-Athens_Attica.html"
"Baba Au Rum","Baba Au Rum","€€ - €€€ ","Kleitiou 6 Αθήνα,  Ελλάδα ","+30 21 1710 9140","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d3935959-Reviews-Baba_Au_Rum-Athens_Attica.html"
"Όπως παλιά","Όπως παλιά","€ Ευρωπαϊκή Ελληνική ","Βείκου 2 Αθήνα 117 42,  Ελλάδα ","+30 21 0923 9718","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d4195130-Reviews-Opos_palia-Athens_Attica.html"
"Σπονδή","Σπονδή","€€€€ Γαλλική Ευρωπαϊκή Κατάλληλο για χορτοφάγους ","5 Pirronos Pagkrati Αθήνα 116 36,  Ελλάδα ","+30 21 0756 4021","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d1006291-Reviews-Spondi-Athens_Attica.html"
"Thea Terrace Bar","Thea Terrace Bar","€€ - €€€ Μεσογειακή Ελληνική ","21 Apollonos Plaka Αθήνα 105 57,  Ελλάδα ","+30 21 0323 4350","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d3709146-Reviews-Thea_Terrace_Bar-Athens_Attica.html"
"Ρακόρ","Ρακόρ","€ Μεσογειακή Ελληνική ","Πλαταιών 10 Κεραμεικός Αθήνα 104 35,  Ελλάδα ","+30 21 1710 8877","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d4591702-Reviews-Rakor-Athens_Attica.html"
"Ψαροχώρι","Ψαροχώρι","€€ - €€€ Θαλασσινά Μεσογειακή Κατάλληλο για χορτοφάγους ","Τσόχα 21 Αθήνα 11521,  Ελλάδα ","+30 21 0643 8691","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d14091338-Reviews-Psarochori-Athens_Attica.html"
"Σουβλάκι Ο Κώστας","Σουβλάκι Ο Κώστας","€ Φαστ φουντ Μεσογειακή Ελληνική ","ΒΑΣΙΛΙΚΗΣ 1  ΠΛΑΤΕΙΑ ΑΓΙΑΣ ΕΙΡΗΝΗΣ Μοναστηράκι Αθήνα 105 60,  Ελλάδα ","+30 21 0323 2971","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d3518811-Reviews-Kosta_s_Souvlaki-Athens_Attica.html"
"Cantina Bella","Cantina Bella","€ Διεθνής Φαγητό του δρόμου ","Ορλώφ 1 Αθήνα 11741,  Ελλάδα ","+30 21 0922 9739","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d14005334-Reviews-Cantina_Bella-Athens_Attica.html"
"Nolan","Nolan","€€ - €€€ Διεθνής Ιαπωνική Μεσογειακή ","Βουλής 31-33 Σύνταγμα Αθήνα 105 57,  Ελλάδα ","+30 21 0324 3545","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d9835933-Reviews-Nolan-Athens_Attica.html"
"Guarantee","Guarantee","€ Κατάλληλο για χορτοφάγους Επιλογές βίγκαν ","Βεικου 41 Αθήνα,  Ελλάδα ","+30 21 0922 6924","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d7988552-Reviews-Guarantee-Athens_Attica.html"
"Yiantes","Yiantes","€€ - €€€ Ελληνική Κατάλληλο για χορτοφάγους Επιλογές βίγκαν ","Βαλτετσίου 44 Εξάρχεια Αθήνα 106 81,  Ελλάδα ","+30 21 0330 1369","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d824609-Reviews-Yiantes-Athens_Attica.html"
"Το Παραδοσιακο","Το Παραδοσιακο","€ Ψητοπωλείο Μεσογειακή Μπάρμπεκιου ","Κολοκοτρωνη 59 Αθήνα 105 60,  Ελλάδα ","+30 21 0323 1700","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d7788585-Reviews-To_Paradosiako-Athens_Attica.html"
"Αντίκα καφέ μεζεδοπωλείο","Αντίκα καφέ μεζεδοπωλείο","€€ - €€€ Μεσογειακή Ελληνική Διεθνής ","Αδριανού 25 Μοναστηράκι Αθήνα 105 55,  Ελλάδα ","+30 21 0321 3232","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d2153299-Reviews-Antica_Cafe_restaurant-Athens_Attica.html"
"Baba Ghanoush","Baba Ghanoush","€ Μεσογειακή Μέσης Ανατολής Ελληνική ","25-27 Embedokleous Plateia Varnava Αθήνα 116 35,  Ελλάδα ","+30 21 2105 0351","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d7910167-Reviews-Baba_Ghanoush-Athens_Attica.html"
"Prosopa","Prosopa","€€ - €€€ Μεσογειακή Ευρωπαϊκή Ελληνική ","Κωνσταντινουπώλεως 4 & Μεγάλου Βασιλείου 52 Ρούφ Αθήνα,  Ελλάδα ","+30 21 0341 3433","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d798713-Reviews-Prosopa-Athens_Attica.html"
"Πιάτο El Greco","Πιάτο El Greco","€€ - €€€ Θαλασσινά Μεσογειακή Ευρωπαϊκή ","Καβαλλότι 8 Ακρόπολη Αθήνα 11743,  Ελλάδα ","+30 21 0922 4926","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d10765706-Reviews-Piato_El_Greco-Athens_Attica.html"
"Αγορά Restaurant-Bar","Αγορά Restaurant-Bar","€€ - €€€ Θαλασσινά Μεσογειακή ","Βουρνάζου 31 Λ. Αλεξάνδρας, Αμπελόκηποι Αθήνα 115 21,  Ελλάδα ","+30 21 0642 6238","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d695881-Reviews-Agora_Restaurant_Bar-Athens_Attica.html"
"Estiatorio Milos","Estiatorio Milos","€€€€ Θαλασσινά Μεσογειακή Ευρωπαϊκή ","Βασιλίσσης Σοφιας 46 Αθήνα 115 28,  Ελλάδα ","+30 21 0724 4400","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d695934-Reviews-Estiatorio_Milos-Athens_Attica.html"
"Taverna Saita","Taverna Saita","€€ - €€€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Κυδαθηναίων 21 Πλάκα Αθήνα 10558,  Ελλάδα ","+30 21 0322 6671","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d1758185-Reviews-Taverna_Saita-Athens_Attica.html"
"Masina","Masina","€ Μεσογειακή Ελληνική Κατάλληλο για χορτοφάγους ","Λεωφορος Συγγρου 133 Αθήνα 117 45,  Ελλάδα ","+30 21 0931 3173","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d5517446-Reviews-Masina-Athens_Attica.html"
"Klepsidra Cafe","Klepsidra Cafe","€ Μεσογειακή Ευρωπαϊκή Ελληνική ","Thrasivoulou 9 Plaka Αθήνα 105 56,  Ελλάδα ","+30 21 0321 2493","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d3293192-Reviews-Klepsidra_Cafe-Athens_Attica.html"
"Τα Σκαλάκια","Τα Σκαλάκια","€€ - €€€ Μεσογειακή Μπάρμπεκιου Ελληνική ","Διονησίου Αιγινήτου 32 Αθήνα 115 28,  Ελλάδα ","+30 21 0722 9290","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d2578850-Reviews-Ta_Skalakia-Athens_Attica.html"
"The Athens Gate Restaurant","The Athens Gate Restaurant","€€ - €€€ Μεσογειακή Ελληνική Ευρωπαϊκή ","The Athens Gate Hotel 10 Syngrou Ave Αθήνα 11742,  Ελλάδα ","+30 21 0923 8302","https://www.tripadvisor.com.gr/Restaurant_Review-g189400-d1942851-Reviews-The_Athens_Gate_Restaurant-Athens_Attica.html"
